model,rating,n_ratings,ram_gb,storage_gb,b_camera_mp,f_camera_mp,battery_mah,price_inr
"realme C12 (Power Blue, 32 GB)",4.4,324571,3,32,13.0,5.0,6000,10999
"realme X3 SuperZoom (Arctic White, 256 GB)",4.2,2923,12,256,64.0,32.0,4200,17999
"realme X3 SuperZoom (Glacier Blue, 256 GB)",4.3,11117,8,256,64.0,32.0,4200,14999
"realme X3 SuperZoom (Arctic White, 128 GB)",4.3,11117,8,128,64.0,32.0,4200,12999
"realme C20 (Cool Grey, 32 GB)",4.4,299943,2,32,8.0,5.0,5000,7499
"realme 9 Pro+ 5G (Aurora Green, 128 GB)",4.4,32192,6,128,50.0,16.0,4500,17999
"realme 10 Pro+ 5G (Nebula Blue, 256 GB)",4.4,16541,8,256,108.0,16.0,5000,27999
"realme 10 Pro+ 5G (Hyperspace, 256 GB)",4.4,16541,8,256,108.0,16.0,5000,27999
"realme 10 Pro+ 5G (Dark Matter, 256 GB)",4.4,16541,8,256,108.0,16.0,5000,27999
"realme 8 (Cyber Silver, 128 GB)",4.4,122545,6,128,64.0,16.0,5000,14499
"realme C20 (Cool Blue, 32 GB)",4.4,299943,2,32,8.0,5.0,5000,7499
"realme 8 (Cyber Silver, 128 GB)",4.4,124493,4,128,64.0,16.0,5000,13499
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6049
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5549
"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,342411,4,128,50.0,8.0,6000,11999
"realme 9 5G (Supersonic Blue, 64 GB)",4.5,41495,4,64,48.0,16.0,5000,13499
"realme 9 5G (Stargaze White, 64 GB)",4.5,41495,4,64,48.0,16.0,5000,13499
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",4.4,32192,6,128,50.0,16.0,4500,17999
"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)",4.4,32551,8,128,50.0,16.0,4500,19999
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",4.4,32192,6,128,50.0,16.0,4500,17999
"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)",4.4,32192,6,128,50.0,16.0,4500,17999
"realme 9i (Prism Blue, 128 GB)",4.5,27119,6,128,50.0,16.0,5000,14499
"realme 8 (Cyber Silver, 128 GB)",4.4,96600,8,128,64.0,16.0,5000,15499
"realme 8 (Cyber Black, 128 GB)",4.4,122545,6,128,64.0,16.0,5000,14499
"realme 9 Pro+ 5G (Aurora Green, 128 GB)",4.4,32551,8,128,50.0,16.0,4500,19999
"realme GT Master Edition (Luna White, 128 GB)",4.3,62922,8,128,64.0,32.0,4300,22999
"realme GT Master Edition (Voyager Grey, 128 GB)",4.3,62922,8,128,64.0,32.0,4300,22999
"realme GT Master Edition (Luna White, 128 GB)",4.4,47287,6,128,64.0,32.0,4300,20999
"realme 9 5G (Stargaze White, 128 GB)",4.4,50931,6,128,48.0,16.0,5000,14999
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5549
"realme GT Master Edition (Cosmos Black, 256 GB)",4.3,62922,8,256,64.0,32.0,4300,24999
"realme GT Master Edition (Voyager Grey, 256 GB)",4.3,62922,8,256,64.0,32.0,4300,24999
"realme GT Master Edition (Cosmos Black, 128 GB)",4.3,62922,8,128,64.0,32.0,4300,22999
"realme GT Master Edition (Daybreak Blue, 128 GB)",4.3,62922,8,128,64.0,32.0,4300,22999
"realme GT Master Edition (Voyager Grey, 128 GB)",4.4,47287,6,128,64.0,32.0,4300,20999
"realme 9 5G (Meteor Black, 128 GB)",4.4,50931,6,128,48.0,16.0,5000,14999
"realme 9 5G (Supersonic Blue, 128 GB)",4.4,50931,6,128,48.0,16.0,5000,14999
"realme 9 5G (Supersonic Black, 128 GB)",4.4,50931,6,128,48.0,16.0,5000,14999
"realme C21 (Cross Blue, 32 GB)",4.4,72333,3,32,13.0,5.0,5000,9499
"realme GT Master Edition (Daybreak Blue, 128 GB)",4.4,47287,6,128,64.0,32.0,4300,20999
"realme GT Master Edition (Cosmos Black, 128 GB)",4.4,47287,6,128,64.0,32.0,4300,20999
"realme GT Neo 3T (Shade Black, 256 GB)",4.3,13087,8,256,64.0,16.0,5000,38999
"realme 9 Pro 5G (Midnight Black, 128 GB)",4.3,15032,8,128,64.0,16.0,5000,20999
"realme C25_Y (Glacier Blue, 128 GB)",4.5,47528,4,128,50.0,8.0,5000,11999
"realme C25 (Watery Blue, 64 GB)",4.4,44548,4,64,13.0,8.0,6000,9999
"realme C25 (Watery Grey, 128 GB)",4.4,44548,4,128,13.0,8.0,6000,10999
"realme 9 Pro 5G (Aurora Green, 128 GB)",4.3,15032,8,128,64.0,16.0,5000,20999
"realme 8i (Space Purple, 128 GB)",4.4,70506,6,128,50.0,16.0,5000,17999
"realme C25 (Watery Blue, 128 GB)",4.4,44548,4,128,13.0,8.0,6000,10999
"realme C25 (Watery Grey, 64 GB)",4.4,44548,4,64,13.0,8.0,6000,9999
"realme 9 Pro 5G (Sunrise Blue, 128 GB)",4.4,85111,6,128,64.0,16.0,5000,18999
"realme 3i (Diamond Blue, 64 GB)",4.4,80202,4,64,13.0,13.0,4230,10499
"realme 9 Pro 5G (Aurora Green, 128 GB)",4.4,85111,6,128,64.0,16.0,5000,18999
"realme 8 5G (Supersonic Black, 128 GB)",4.4,70390,8,128,48.0,16.0,5000,18499
"realme Narzo 30A (Laser Black, 32 GB)",4.3,131480,3,32,13.0,8.0,6000,8999
"realme 9 (Stargaze White, 128 GB)",4.4,65374,6,128,108.0,16.0,5000,16999
"realme C25Y (Glacier Blue, 128 GB)",4.4,139101,4,128,50.0,8.0,5000,13999
"realme 9 (Stargaze White, 128 GB)",4.4,26968,8,128,108.0,16.0,5000,17999
"realme Narzo 30A (Laser Blue, 32 GB)",4.3,131480,3,32,13.0,8.0,6000,8999
"realme 6 (Comet White, 64 GB)",4.4,86814,4,64,64.0,16.0,4300,13999
"realme 8 5G (Supersonic Blue, 128 GB)",4.4,70390,8,128,48.0,16.0,5000,18499
"realme 8 5G (Supersonic Black, 128 GB)",4.3,77567,4,128,48.0,16.0,5000,16499
"realme 8 5G (Supersonic Black, 64 GB)",4.3,77567,4,64,48.0,16.0,5000,15499
"realme 8 5G (Supersonic Blue, 64 GB)",4.3,77567,4,64,48.0,16.0,5000,15499
"realme Narzo 30A (Laser Black, 64 GB)",4.4,130954,4,64,13.0,8.0,6000,9999
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,25145,4,64,13.0,5.0,5000,8499
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.3,151074,4,128,50.0,8.0,6000,11999
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.3,151074,4,128,50.0,8.0,6000,11999
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.3,151074,4,64,50.0,8.0,6000,10999
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,151074,4,64,50.0,8.0,6000,10999
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.2,25145,4,64,13.0,5.0,5000,8499
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,15053,6,128,50.0,13.0,6000,14490
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.2,15053,6,128,50.0,13.0,6000,14490
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,151074,4,64,50.0,8.0,6000,10999
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,192890,6,128,50.0,8.0,5000,16999
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.3,151074,4,128,50.0,8.0,6000,11999
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,6173,4,128,50.0,13.0,6000,13490
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,6173,4,128,50.0,13.0,6000,13490
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.2,6173,4,128,50.0,13.0,6000,13490
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.3,192890,6,128,50.0,8.0,5000,16999
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,15053,6,128,50.0,13.0,6000,14490
"SAMSUNG Galaxy M04 (Light Green, 64 GB)",4.1,2898,4,64,13.0,5.0,5000,8093
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,192890,6,128,50.0,8.0,5000,16999
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",4.1,2898,4,64,13.0,5.0,5000,7985
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.2,43388,4,128,50.0,8.0,5000,15999
"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)",4.5,3234,8,128,50.0,10.0,4500,49999
"SAMSUNG Galaxy A14 5G (Black, 128 GB)",4.0,1698,6,128,50.0,13.0,5000,18999
"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)",4.1,1133,4,64,50.0,13.0,5000,16499
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.2,43388,4,128,50.0,8.0,5000,15999
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",4.0,1698,6,128,50.0,13.0,5000,18999
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",4.1,542,6,128,50.0,8.0,5000,21999
"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)",4.3,4205,8,128,12.0,10.0,3300,49999
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",4.0,1698,6,128,50.0,13.0,5000,18999
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",4.1,1021,8,128,50.0,13.0,5000,20999
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",4.1,1021,8,128,50.0,13.0,5000,20999
"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)",4.5,3234,8,128,50.0,10.0,4500,49999
"SAMSUNG Galaxy A34 5G (Awesome Violet, 256 GB)",4.2,715,8,256,48.0,13.0,5000,32999
"SAMSUNG Galaxy A14 5G (Light Green, 64 GB)",4.1,1133,4,64,50.0,13.0,5000,16499
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)",4.2,715,8,128,48.0,13.0,5000,30999
"SAMSUNG Galaxy A14 5G (Black, 64 GB)",4.1,1133,4,64,50.0,13.0,5000,16499
"SAMSUNG Galaxy A34 5G (Awesome Lime, 128 GB)",4.2,715,8,128,48.0,13.0,5000,30999
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)",4.2,715,8,128,48.0,13.0,5000,30999
"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",4.2,715,8,128,48.0,13.0,5000,30999
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)",4.1,542,6,128,50.0,8.0,5000,21999
"SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)",4.3,414,8,256,50.0,32.0,5000,40999
"SAMSUNG Galaxy A23 (Blue, 128 GB)",4.2,995,6,128,50.0,8.0,5000,17499
"SAMSUNG Galaxy A23 (Blue, 128 GB)",4.2,995,6,128,50.0,8.0,5000,17499
"SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)",4.3,414,8,256,50.0,32.0,5000,40999
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",4.3,54879,8,128,12.0,32.0,4500,39999
"SAMSUNG Galaxy A23 (Black, 128 GB)",4.2,995,6,128,50.0,8.0,5000,17499
"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)",4.3,54879,8,128,12.0,32.0,4500,39999
"SAMSUNG Galaxy A14 5G (Black, 128 GB)",4.1,1021,8,128,50.0,13.0,5000,20999
"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)",4.3,54879,8,128,12.0,32.0,4500,39999
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.4,66,3,64,13.0,5.0,5000,9999
"SAMSUNG Galaxy A54 5G (Awesome Violet, 256 GB)",4.3,414,8,256,50.0,32.0,5000,40999
"SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB)",4.0,1008,8,128,12.0,32.0,4500,29900
"SAMSUNG Galaxy A04e (Light Blue, 64 GB)",4.4,66,3,64,13.0,5.0,5000,9999
"SAMSUNG Galaxy A04s (Green, 64 GB)",4.1,74,4,64,50.0,5.0,5000,12499
"SAMSUNG Galaxy S23 5G (Green, 256 GB)",4.6,1645,8,256,50.0,12.0,3900,79999
"SAMSUNG Galaxy A23 (Blue, 128 GB)",4.3,567,8,128,50.0,8.0,5000,19999
"SAMSUNG Galaxy A04s (Black, 64 GB)",4.1,74,4,64,50.0,5.0,5000,12499
"SAMSUNG Galaxy A23 (Peach, 128 GB)",4.2,995,6,128,50.0,8.0,5000,17499
"SAMSUNG Galaxy A34 5G (Awesome Lime, 256 GB)",4.2,715,8,256,48.0,13.0,5000,32999
"SAMSUNG Galaxy A04 (Black, 128 GB)",4.0,46,4,128,50.0,5.0,5000,12999
"SAMSUNG Galaxy S23 5G (Cream, 256 GB)",4.6,1645,8,256,50.0,12.0,3900,79999
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4.3,104763,4,64,48.0,13.0,6000,11499
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)",4.6,1645,8,256,50.0,12.0,3900,79999
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)",4.1,3592,2,32,8.0,5.0,5000,7499
"SAMSUNG Galaxy S23 Ultra 5G (Green, 256 GB)",4.3,720,12,256,200.0,12.0,5000,124999
"SAMSUNG Galaxy A13 (Peach, 128 GB)",4.2,447,6,128,50.0,8.0,5000,16499
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,300403,4,64,48.0,8.0,6000,10499
"SAMSUNG M32 5G (Sky blue, 128 GB)",4.1,3940,6,128,48.0,13.0,5000,16200
"SAMSUNG Galaxy A50 (White, 64 GB)",4.3,68185,4,64,25.0,25.0,4000,15899
"SAMSUNG Galaxy A54 5G (Awesome Lime, 128 GB)",4.3,414,8,128,50.0,32.0,5000,38999
"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)",4.1,6297,8,128,64.0,8.0,5000,22999
"SAMSUNG Galaxy S23 Ultra 5G (Phantom Black, 256 GB)",4.3,720,12,256,200.0,12.0,5000,124999
"SAMSUNG Galaxy A04 (Copper, 128 GB)",4.0,46,4,128,50.0,5.0,5000,12999
"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",4.1,1044,8,128,48.0,13.0,5000,28999
"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,2204,6,128,64.0,32.0,4500,25990
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",3.8,298,8,128,50.0,8.0,5000,23999
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",4.3,66768,6,128,48.0,13.0,6000,13499
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)",4.6,1645,8,256,50.0,12.0,3900,79999
"SAMSUNG Galaxy S23 Plus 5G (Cream, 256 GB)",4.5,140,8,256,50.0,12.0,4700,94999
"SAMSUNG Galaxy A03 (Black, 32 GB)",4.1,916,3,32,48.0,5.0,5000,8199
"SAMSUNG Galaxy A03 (Blue, 32 GB)",4.1,916,3,32,48.0,5.0,5000,9990
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.2,447,6,128,50.0,8.0,5000,16499
"SAMSUNG Galaxy A54 5G (Awesome Lime, 256 GB)",4.3,414,8,256,50.0,32.0,5000,40999
"SAMSUNG Galaxy S21 FE 5G (Olive Green, 128 GB)",4.3,54879,8,128,12.0,32.0,4500,39999
"SAMSUNG Galaxy A73 5G (Awesome White, 128 GB)",4.2,1636,8,128,108.0,32.0,5000,36990
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.3,66768,6,128,48.0,13.0,6000,13499
"SAMSUNG A04 e (Copper, 64 GB)",4.7,7,3,64,13.0,5.0,5000,9850
"SAMSUNG Galaxy A03 Core (Green, 32 GB)",4.1,3592,2,32,8.0,5.0,5000,7462
"SAMSUNG Galaxy A03 Core (Blue, 32 GB)",4.1,3592,2,32,8.0,5.0,5000,7790
"SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB)",4.0,1008,8,128,12.0,32.0,4500,50010
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)",3.8,298,8,128,50.0,8.0,5000,23999
"SAMSUNG Galaxy A33 (Awesome Peach, 128 GB)",4.1,1922,6,128,48.0,13.0,5000,27999
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.3,104763,4,64,48.0,13.0,6000,11499
"SAMSUNG Galaxy A03 Core (Black, 32 GB)",4.1,3592,2,32,8.0,5.0,5000,7199
"SAMSUNG Galaxy S23 Plus 5G (Phantom Black, 256 GB)",4.5,140,8,256,50.0,12.0,4700,94999
"SAMSUNG Galaxy A04s (Green, 128 GB)",4.1,74,4,128,50.0,5.0,5000,13499
"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",4.2,1636,8,128,108.0,32.0,5000,41999
"SAMSUNG Galaxy A04 (Black, 64 GB)",4.0,46,4,64,50.0,5.0,5000,11999
"SAMSUNG Galaxy S23 Plus 5G (Phantom Black, 512 GB)",4.5,140,8,512,50.0,12.0,4700,104999
"SAMSUNG Galaxy A13 (Peach, 64 GB)",4.1,859,4,64,50.0,8.0,5000,14499
"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)",4.3,4205,8,128,12.0,10.0,3300,49999
"SAMSUNG Galaxy A04e (Light Blue, 128 GB)",4.2,40,4,128,13.0,5.0,5000,11499
"SAMSUNG Galaxy A04 (Green, 128 GB)",4.0,46,4,128,50.0,5.0,5000,12999
"SAMSUNG Galaxy S23 Plus 5G (Cream, 512 GB)",4.5,140,8,512,50.0,12.0,4700,104999
"SAMSUNG Galaxy A04s (Black, 128 GB)",4.1,74,4,128,50.0,5.0,5000,13499
"SAMSUNG Galaxy A12 (White, 128 GB)",4.1,1353,6,128,48.0,8.0,5000,17999
"SAMSUNG Galaxy A73 5G (Awesome Gray, 256 GB)",4.2,1636,8,256,108.0,32.0,5000,39930
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)",4.4,16,6,128,48.0,13.0,5000,30999
"SAMSUNG Galaxy A22 (Black, 128 GB)",4.2,1129,6,128,48.0,13.0,5000,18450
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.1,859,4,128,50.0,8.0,5000,14999
"SAMSUNG Galaxy S23 Ultra 5G (Phantom Black, 512 GB)",4.3,720,12,512,200.0,12.0,5000,134999
"SAMSUNG Galaxy S23 Ultra 5G (Green, 512 GB)",4.3,720,12,512,200.0,12.0,5000,134999
"SAMSUNG Galaxy S22 5G (Phantom Black, 256 GB)",4.3,295,8,256,50.0,10.0,3700,72999
"SAMSUNG Galaxy Z Flip4 5G (Graphite, 256 GB)",3.7,200,8,256,12.0,10.0,3700,94999
"SAMSUNG Galaxy S22 5G (Green, 128 GB)",4.3,295,8,128,50.0,10.0,3700,51990
"SAMSUNG Galaxy A53 (Awesome Black, 256 GB)",4.1,1558,8,256,64.0,32.0,5000,42999
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)",4.3,295,8,128,50.0,10.0,3700,51490
"SAMSUNG Galaxy A04e (Copper, 128 GB)",4.2,40,4,128,13.0,5.0,5000,11499
"SAMSUNG Galaxy S9 (Coral Blue, 64 GB)",4.4,30827,4,64,12.0,8.0,3000,62500
"SAMSUNG Galaxy A33 (Awesome Peach, 128 GB)",4.1,1044,8,128,48.0,13.0,5000,27995
"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",4.1,1044,8,128,48.0,13.0,5000,27499
"SAMSUNG Galaxy M32 5G (Sky Blue, 128 GB)",4.2,1467,8,128,48.0,13.0,5000,17990
"SAMSUNG M32 5G (Slate Black, 128 GB)",4.1,3940,6,128,48.0,13.0,5000,16900
"SAMSUNG Galaxy M02 (Blue, 32 GB)",4.0,1817,3,32,13.0,5.0,5000,8487
"SAMSUNG Galaxy A21s (Blue, 64 GB)",4.2,10468,6,64,48.0,13.0,5000,19998
"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.3,300403,4,128,48.0,8.0,6000,11499
"SAMSUNG Galaxy F02s (Diamond Black, 32 GB)",4.2,4546,3,32,13.0,5.0,5000,9499
"SAMSUNG Galaxy A71 (Haze Crush Silver, 128 GB)",4.4,7289,8,128,64.0,32.0,4500,29499
"SAMSUNG Galaxy A22 (Black, 128 GB)",4.2,1129,6,128,48.0,13.0,5000,16999
"SAMSUNG M02s (Blue, 32 GB)",4.2,1300,3,32,13.0,5.0,5000,9176
"SAMSUNG Galaxy A03 (Blue, 64 GB)",4.1,193,4,64,48.0,5.0,5000,11499
"SAMSUNG Galaxy F02s (Diamond Blue, 32 GB)",4.2,4546,3,32,13.0,5.0,5000,9499
"SAMSUNG Galaxy A21s (Black, 64 GB)",4.2,23004,4,64,48.0,13.0,5000,17998
"SAMSUNG Galaxy M02 (Red, 32 GB)",4.0,1429,2,32,13.0,5.0,5000,7766
"SAMSUNG Galaxy A13 (White, 64 GB)",4.1,859,4,64,50.0,8.0,5000,14499
"SAMSUNG Galaxy A21s (Black, 64 GB)",4.2,10468,6,64,48.0,13.0,5000,19998
"SAMSUNG Galaxy A53 (Awesome Blue, 128 GB)",4.1,1558,8,128,64.0,32.0,5000,33499
"SAMSUNG M31 (Ocean Blue, 128 GB)",4.3,7505,6,128,64.0,32.0,6000,16590
"SAMSUNG M01 core (Blue, 32 GB)",3.9,10124,2,32,8.0,5.0,3000,6060
"SAMSUNG Galaxy F02s (Diamond White, 64 GB)",4.2,4594,4,64,13.0,5.0,5000,11499
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",4.3,31001,8,128,64.0,32.0,7000,25999
"SAMSUNG Galaxy M11 (Violet, 32 GB)",4.2,10712,3,32,13.0,8.0,5000,10999
"SAMSUNG Galaxy A12 (Blue, 128 GB)",4.1,1353,6,128,48.0,8.0,5000,17999
"SAMSUNG Galaxy A2 Core (Blue, 16 GB)",4.2,3351,1,16,5.0,5.0,2600,5900
"SAMSUNG Galaxy A21s (White, 64 GB)",4.2,23004,4,64,48.0,13.0,5000,13999
"SAMSUNG Galaxy A52 (Awesome Violet, 128 GB)",4.3,1303,8,128,64.0,32.0,4500,31998
"SAMSUNG Galaxy On Nxt (Black, 16 GB)",4.3,365632,3,16,13.0,8.0,3300,11200
"SAMSUNG Galaxy M02 (Gray, 32 GB)",4.0,1817,3,32,13.0,5.0,5000,8298
"SAMSUNG Galaxy A52 (Awesome Black, 128 GB)",4.3,2204,6,128,64.0,32.0,4500,30498
"SAMSUNG Galaxy M30S (Black, 128 GB)",4.3,4323,4,128,48.0,16.0,6000,15999
"SAMSUNG M02s (Black, 64 GB)",4.2,1252,4,64,13.0,5.0,5000,10190
"SAMSUNG Galaxy A12 (Black, 128 GB)",4.1,1353,6,128,48.0,8.0,5000,17999
"SAMSUNG Galaxy F02s (Diamond White, 32 GB)",4.2,4546,3,32,13.0,5.0,5000,10499
"SAMSUNG Galaxy A20s (Blue, 32 GB)",4.3,1234,3,32,13.0,8.0,4000,12900
"SAMSUNG M01 core (Black, 16 GB)",3.9,8485,1,16,8.0,5.0,3000,5499
"SAMSUNG Galaxy A34 5G (Awesome Silver, 256 GB)",4.2,715,8,256,48.0,13.0,5000,32999
"SAMSUNG Galaxy A21s (Silver, 128 GB)",4.2,10468,6,128,48.0,13.0,5000,18999
"OPPO A17 (Lake Blue, 64 GB)",4.4,6810,4,64,50.0,5.0,5000,12499
"OPPO A17k (Blue, 64 GB)",4.5,5055,3,64,8.0,5.0,5000,9499
"OPPO A17 (Sunlight Orange, 64 GB)",4.4,6810,4,64,50.0,5.0,5000,12499
"OPPO A17 (Midnight Black, 64 GB)",4.4,6810,4,64,50.0,5.0,5000,12499
"OPPO A77s (Sunset Orange, 128 GB)",4.3,879,8,128,50.0,8.0,5000,16499
"OPPO A17 (Lake Blue, 64 GB)",4.4,6810,4,64,50.0,5.0,5000,11929
"OPPO A77s (Starry Black, 128 GB)",4.3,879,8,128,50.0,8.0,5000,16499
"OPPO Reno8T 5G (Sunrise Gold, 128 GB)",4.3,9921,8,128,108.0,32.0,4800,29999
"OPPO Reno8T 5G (Midnight Black, 128 GB)",4.3,9921,8,128,108.0,32.0,4800,29999
"OPPO A17K (Navy Blue, 64 GB)",4.5,5055,3,64,8.0,5.0,5000,9820
"OPPO A17k (Navy Blue, 64 GB)",4.5,5055,3,64,8.0,5.0,5000,9499
"OPPO A17k (Gold, 64 GB)",4.5,5055,3,64,8.0,5.0,5000,9499
"OPPO F21S PRO (Dawnlight Gold, 128 GB)",4.1,511,8,128,64.0,32.0,4500,21699
"OPPO Reno8 5G (Shimmer Gold, 128 GB)",4.3,37318,8,128,50.0,32.0,4500,29999
"OPPO A17K (Gold, 64 GB)",4.5,5055,3,64,8.0,5.0,5000,9349
"OPPO A15 (Mystery Blue, 32 GB)",4.3,2203,3,32,13.0,5.0,4230,11990
"OPPO A15 (Dynamic Black, 32 GB)",4.3,2203,3,32,13.0,5.0,4230,9490
"OPPO Reno8 5G (Shimmer Black, 128 GB)",4.3,37318,8,128,50.0,32.0,4500,29999
"OPPO A57 (Glowing Green, 64 GB)",4.4,3001,4,64,13.0,8.0,5000,13999
"OPPO F21s Pro 5G (Starlight Black, 128 GB)",4.2,790,8,128,64.0,16.0,4500,24497
"OPPO F21s Pro 5G (Dawnlight Gold, 128 GB)",4.2,790,8,128,64.0,16.0,4500,25388
"OPPO A57 (Glowing Black, 64 GB)",4.4,3001,4,64,13.0,8.0,5000,13999
"OPPO K10 (Blue Flame, 128 GB)",4.4,110994,6,128,50.0,16.0,5000,14990
"OPPO A77 (Sky Blue, 64 GB)",4.2,796,4,64,50.0,8.0,5000,15499
"OPPO A16E (Midnight Black, 32 GB)",4.3,916,3,32,13.0,5.0,4230,9490
"OPPO K10 (Black Carbon, 128 GB)",4.4,110994,6,128,50.0,16.0,5000,14990
"OPPO A57 (Glowing Gold, 64 GB)",4.4,3001,4,64,13.0,8.0,5000,13999
"OPPO F21s Pro (Starlight Black, 128 GB)",4.1,511,8,128,64.0,32.0,4500,20900
"OPPO A77 (Sunset Orange, 128 GB)",4.2,796,4,128,50.0,8.0,5000,15999
"OPPO A16k (Midnight Black, 32 GB)",4.3,700,3,32,13.0,5.0,4230,9990
"OPPO A77 (Sky Blue, 128 GB)",4.2,796,4,128,50.0,8.0,5000,15999
"OPPO A76 (Glowing Blue, 128 GB)",4.3,469,6,128,13.0,8.0,5000,16490
"OPPO A16E (White, 32 GB)",4.3,916,3,32,13.0,5.0,4230,9900
"OPPO A54 (Crystal Black, 64 GB)",4.4,11092,4,64,13.0,16.0,5000,13990
"OPPO A54 (Moonlight Gold, 64 GB)",4.4,11092,4,64,13.0,16.0,5000,14499
"OPPO A785G (Blue, 128 GB)",4.1,33,8,128,50.0,8.0,5000,19450
"OPPO A31 (Fantasy White, 64 GB)",4.3,22149,4,64,12.0,8.0,4230,12988
"OPPO A16 (Crystal Black, 64 GB)",4.3,4035,4,64,13.0,8.0,5000,13990
"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",4.3,210,8,256,50.0,32.0,4300,89999
"OPPO F17 Pro (Matte Black, 128 GB)",4.3,28618,8,128,48.0,16.0,4015,19990
"OPPO F19s (Glowing Gold, 128 GB)",4.4,11594,6,128,48.0,16.0,5000,19990
